env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,195.1,0.05,-47.5,0.2797486484050751
20000,449.4,0.05,-47.5,0.33485740423202515
30000,672.4,0.05,-47.5,0.21108180284500122
40000,898.6,0.05,-47.5,2.697059154510498
50000,1126.0,0.05,-47.5,0.3135729730129242
60000,1360.0,0.05,-47.5,0.6429340839385986
70000,1616.5,0.05,-47.5,0.2589321732521057
80000,1866.4,0.05,-47.5,0.344251811504364
90000,2138.3,0.05,-47.5,0.6676651239395142
100000,2392.2,0.05,-47.5,0.24838054180145264
110000,2663.9,0.05,-47.5,0.14758053421974182
120000,2925.0,0.05,-47.5,0.26997804641723633
130000,3182.3,0.05,-47.5,0.44537103176116943
140000,3445.7,0.05,-47.5,3.4426026344299316
150000,3702.1,0.05,-47.5,0.1815095841884613
160000,3947.9,0.05,-47.5,0.1162896454334259
170000,4206.6,0.05,-47.5,0.5975738763809204
180000,4466.6,0.05,-47.5,0.18992450833320618
190000,4742.9,0.05,-47.5,4.115048885345459
200000,4986.0,0.05,-47.5,3.495439291000366
210000,5262.0,0.05,-47.5,0.08407213538885117
220000,5535.8,0.05,-47.5,0.1095106303691864
230000,5783.9,0.05,-47.5,0.13393716514110565
240000,6029.6,0.05,-47.5,0.08197703957557678
250000,6275.4,0.05,-47.5,0.17572692036628723
260000,6522.9,0.05,-47.5,0.0725238174200058
270000,6771.2,0.05,-47.5,0.2375110238790512
280000,7020.5,0.05,-47.5,0.46038928627967834
290000,7270.6,0.05,-47.5,0.06942330300807953
300000,7520.3,0.05,-47.5,0.17026078701019287
310000,7766.3,0.05,-47.5,0.12853962182998657
320000,8010.8,0.05,-47.5,0.051752861589193344
330000,8290.3,0.05,-47.5,0.7040022611618042
340000,8546.0,0.05,-47.5,0.06314219534397125
350000,8798.1,0.05,-47.5,0.14528879523277283
360000,9043.9,0.05,-47.5,0.6729716062545776
370000,9324.4,0.05,-47.5,0.0739431083202362
380000,9581.8,0.05,-47.5,0.139985591173172
390000,9831.3,0.05,-47.5,0.1953965127468109
400000,10110.0,0.05,-47.5,0.10968346148729324
410000,10389.8,0.05,-47.5,0.19475269317626953
420000,10635.9,0.05,-47.5,0.06300891935825348
430000,10890.3,0.05,-47.5,0.0757102519273758
440000,11148.5,0.05,-47.5,0.03211436793208122
450000,11409.3,0.05,-47.5,0.061671894043684006
460000,11671.0,0.05,-47.5,0.029309213161468506
470000,11936.5,0.05,-47.5,0.07150788605213165
480000,12186.8,0.05,-47.5,0.43539777398109436
490000,12447.6,0.05,-47.5,0.44900503754615784
500000,12715.1,0.05,-47.5,0.04854100942611694
510000,12985.5,0.05,-47.5,0.13113689422607422
520000,13235.2,0.05,-47.5,0.10283838212490082
530000,13489.4,0.05,-47.5,0.047154441475868225
540000,13756.5,0.05,-47.5,0.16929352283477783
550000,14018.2,0.05,-47.5,0.06381405889987946
560000,14279.4,0.05,-47.5,0.10789180546998978
570000,14530.0,0.05,-47.5,0.06326167285442352
580000,14778.9,0.05,-47.5,0.20011314749717712
590000,15029.6,0.05,-47.5,0.05581368878483772
600000,15279.3,0.05,-47.5,0.10147924721240997
610000,15530.1,0.05,-47.5,0.2410162091255188
620000,15800.6,0.05,-47.5,0.053482331335544586
630000,16066.5,0.05,-47.5,0.3035902976989746
640000,16323.6,0.05,-47.5,0.0780649185180664
650000,16596.2,0.05,-47.5,0.0810561552643776
660000,16846.4,0.05,-47.5,0.11957657337188721
670000,17096.3,0.05,-47.5,0.26896995306015015
680000,17326.4,0.05,-47.5,0.03545380383729935
690000,17553.6,0.05,-47.5,0.1969776749610901
700000,17788.0,0.05,-47.5,0.17985500395298004
710000,18013.8,0.05,-47.5,2.1772663593292236
720000,18239.6,0.05,-47.5,0.21188439428806305
730000,18495.0,0.05,-47.5,0.09362488985061646
740000,18720.9,0.05,-47.5,0.18476182222366333
750000,18950.1,0.05,-47.5,0.08494583517313004
760000,19176.4,0.05,-47.5,0.19602501392364502
770000,19433.0,0.05,-47.5,0.11165361106395721
780000,19690.5,0.05,-47.5,0.06078716367483139
790000,19916.8,0.05,-47.5,0.08758757263422012
800000,20173.2,0.05,-47.5,0.21144065260887146
810000,20407.9,0.05,-47.5,0.5213376879692078
820000,20643.7,0.05,-47.5,0.30769896507263184
830000,20900.8,0.05,-47.5,0.1277034729719162
840000,21157.8,0.05,-47.5,0.721527099609375
850000,21386.2,0.05,-47.5,0.09919354319572449
860000,21642.9,0.05,-47.5,0.3095371425151825
870000,21880.6,0.05,-47.5,0.10643085092306137
880000,22138.5,0.05,-47.5,0.19904449582099915
890000,22366.0,0.05,-47.5,0.21241626143455505
900000,22594.6,0.05,-47.5,0.20521438121795654
910000,22853.1,0.05,-47.5,0.32747024297714233
920000,23111.0,0.05,-47.5,0.04961332678794861
930000,23340.2,0.05,-47.5,0.08047559857368469
940000,23578.2,0.05,-47.5,0.040833745151758194
950000,23816.6,0.05,-47.5,0.3665555417537689
960000,24055.2,0.05,-47.5,0.06862397491931915
970000,24284.0,0.05,-47.5,0.07365790009498596
980000,24513.2,0.05,-47.5,0.05430829897522926
990000,24742.6,0.05,-47.5,0.15388116240501404
1000000,24982.1,0.05,-47.5,0.05972082167863846
1000000,24986.1,0.05,-47.5,0.19773054122924805
