env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,251.9,0.05,-47.5,0.7794250249862671
20000,560.6,0.05,-47.5,0.21078640222549438
30000,873.5,0.05,-47.5,0.23407718539237976
40000,1188.4,0.05,-47.5,0.6342874765396118
50000,1505.5,0.05,-47.5,0.2551765441894531
60000,1820.0,0.05,-47.5,0.9357537627220154
70000,2142.6,0.05,-47.5,0.5046787261962891
80000,2474.2,0.05,-47.5,0.5698646306991577
90000,2805.5,0.0,-48.3,1.0884729623794556
100000,3149.7,0.05,-47.5,0.14154702425003052
110000,3481.4,0.05,-47.5,0.2236974537372589
120000,3811.4,0.05,-47.5,0.39700189232826233
130000,4151.5,0.05,-47.5,3.8338751792907715
140000,4485.0,0.05,-47.5,0.1452294886112213
150000,4828.1,0.05,-47.5,0.24510511755943298
160000,5163.9,0.05,-47.5,0.05629777908325195
170000,5499.0,0.05,-47.5,0.24331170320510864
180000,5838.1,0.05,-47.5,0.08587788045406342
190000,6184.9,0.05,-47.5,0.30343297123908997
200000,6533.6,0.05,-47.5,0.12590660154819489
210000,6870.6,0.05,-47.5,0.2758311331272125
220000,7209.1,0.05,-47.5,0.10780839622020721
230000,7549.3,0.05,-47.5,0.09143615514039993
240000,7883.3,0.05,-47.5,0.4219787120819092
250000,8219.7,0.05,-47.5,0.1770671308040619
260000,8563.9,0.05,-47.5,0.15032903850078583
270000,8900.7,0.05,-47.5,0.14338454604148865
280000,9248.4,0.05,-47.5,0.1561172902584076
290000,9582.7,0.05,-47.5,0.1709807813167572
300000,9920.0,0.05,-47.5,0.1062566339969635
310000,10272.5,0.05,-47.5,0.18038424849510193
320000,10614.7,0.05,-47.5,0.06629414856433868
330000,10956.2,0.05,-47.5,0.2062990367412567
340000,11305.7,0.05,-47.5,0.31051626801490784
350000,11645.6,0.05,-47.5,0.10451393574476242
360000,11987.5,0.05,-47.5,0.2017551064491272
370000,12325.7,0.05,-47.5,0.5751405358314514
380000,12664.5,0.05,-47.5,0.058106131851673126
390000,13006.0,0.1,-46.25,0.15164731442928314
400000,13347.0,0.05,-47.3,0.1769636869430542
410000,13690.7,0.05,-47.5,0.072132408618927
420000,14031.0,0.0,-49.65,0.07687997072935104
430000,14371.9,0.05,-47.5,0.18292728066444397
440000,14713.7,0.0,-49.35,0.1487947255373001
450000,15066.4,0.05,-47.5,0.24437333643436432
460000,15410.4,0.0,-48.75,0.3919964134693146
470000,15761.8,0.1,-46.1,0.11689648032188416
480000,16102.3,0.05,-47.5,0.10297206789255142
490000,16443.0,0.15,-43.9,0.19249498844146729
500000,16800.6,0.1,-45.9,0.22894999384880066
510000,17147.4,0.1,-45.5,0.19220933318138123
520000,17468.0,0.1,-45.65,0.17652887105941772
530000,17775.3,0.1,-45.35,0.2379004955291748
540000,18081.5,0.25,-42.4,0.10755442082881927
550000,18387.1,0.25,-40.95,0.255564421415329
560000,18705.0,0.2,-43.85,0.30807238817214966
570000,19018.2,0.2,-40.65,0.40489834547042847
580000,19333.6,0.3,-40.0,0.21799170970916748
590000,19650.0,0.3,-37.65,0.4574511647224426
600000,19956.4,0.35,-40.4,0.22871309518814087
610000,20262.2,0.35,-40.65,0.5005243420600891
620000,20568.4,0.45,-36.15,0.2869991660118103
630000,20873.1,0.7,-27.45,0.13386279344558716
640000,21178.0,0.6,-30.9,0.24392899870872498
650000,21484.7,0.6,-31.05,0.2999861240386963
660000,21789.5,0.7,-28.3,0.3536440134048462
670000,22094.9,0.85,-22.5,0.354515939950943
680000,22409.8,0.7,-26.25,0.2985035181045532
690000,22726.7,0.55,-32.4,0.2528992295265198
700000,23031.8,0.6,-30.75,0.37023335695266724
710000,23337.4,0.9,-16.35,0.11071256548166275
720000,23645.5,0.7,-26.45,0.18531885743141174
730000,23951.5,0.75,-23.55,0.2985936403274536
740000,24257.6,0.8,-21.05,0.2571679651737213
750000,24563.4,0.85,-19.6,0.2421271800994873
760000,24870.2,0.95,-17.25,0.1812133491039276
770000,25172.8,0.8,-21.75,0.23749375343322754
780000,25454.0,0.9,-19.25,0.5361207723617554
790000,25730.7,0.85,-17.35,0.244399756193161
800000,26009.2,0.8,-19.0,0.44131529331207275
810000,26290.3,1.0,-11.2,0.37077993154525757
820000,26576.2,0.85,-18.65,0.2839142680168152
830000,26857.6,1.0,-13.05,0.5197572708129883
840000,27136.5,0.9,-15.25,0.15695065259933472
850000,27416.7,0.95,-14.05,0.3750348687171936
860000,27694.5,0.9,-16.9,0.23818200826644897
870000,27972.2,0.85,-17.8,0.36635708808898926
880000,28252.2,1.0,-12.4,0.2559603452682495
890000,28535.5,1.0,-12.1,0.16439680755138397
900000,28814.8,0.9,-14.45,0.37589359283447266
910000,29094.5,0.85,-16.9,0.2779827415943146
920000,29375.0,1.0,-11.75,0.23570460081100464
930000,29659.6,0.9,-14.85,0.22676019370555878
940000,29938.3,0.9,-14.6,0.1361648589372635
950000,30218.7,0.95,-14.05,0.19470568001270294
960000,30498.0,0.8,-19.65,0.25719237327575684
970000,30782.4,0.95,-14.5,0.18220189213752747
980000,31062.1,0.85,-17.15,0.16009405255317688
990000,31344.2,1.0,-11.0,0.17433004081249237
1000000,31626.8,1.0,-12.15,0.17149847745895386
1000000,31630.0,0.95,-11.25,0.3014552593231201
