env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,23.5,0.05,-47.5,0.7918332878397315,0.175
20000,52.3,0.05,-47.5,0.4732372748557478,0.1
30000,76.7,0.05,-47.5,0.6417719672501088,0.08
40000,102.1,0.05,-47.5,0.7553892947684974,0.075
50000,126.8,0.05,-47.5,0.7932896903172135,0.065
60000,151.1,0.05,-47.5,0.5950377305369824,0.1
70000,175.3,0.05,-47.5,0.5634771568633616,0.15
80000,199.5,0.05,-47.5,0.46789292161390184,0.205
90000,223.8,0.05,-47.5,0.44932333747409287,0.205
100000,248.0,0.05,-47.5,0.3994988619558513,0.23
110000,275.9,0.05,-47.5,0.40421923715882,0.33
120000,300.6,0.05,-47.5,0.41387858748733997,0.315
130000,325.1,0.05,-47.5,0.3861460103109479,0.355
140000,349.7,0.05,-47.5,0.38587223178967833,0.415
150000,374.3,0.05,-47.5,0.3968848260901868,0.37
160000,400.5,0.05,-47.5,0.41207102865725753,0.365
170000,427.9,0.05,-47.5,0.411125908049196,0.49
180000,452.4,0.1,-47.2,0.419073566172272,0.51
190000,477.3,0.15,-44.15,0.4258869338668883,0.5
200000,506.0,0.1,-45.65,0.42607206415086984,0.59
210000,532.0,0.1,-45.6,0.43720658184289934,0.695
220000,558.6,0.3,-41.3,0.47188300523906945,0.71
230000,585.1,0.35,-40.0,0.47518611630052326,0.84
240000,629.2,0.5,-36.75,0.4873811865195632,0.875
250000,691.4,0.65,-28.25,0.511154953044653,0.94
260000,717.0,0.65,-28.05,0.5215870052561163,0.965
270000,743.3,0.85,-19.15,0.532521369497478,0.915
280000,769.0,0.65,-27.15,0.5427698440074921,0.965
290000,794.0,0.95,-15.45,0.5625676207706333,0.965
300000,818.1,0.95,-14.25,0.5622108891144395,0.97
310000,842.3,0.7,-23.75,0.5559004575103521,0.98
320000,866.4,0.85,-18.9,0.5663685382634401,0.975
330000,890.4,1.0,-13.45,0.5587366670504212,0.99
340000,914.5,0.85,-19.95,0.5796893145799636,0.99
350000,938.5,0.75,-20.95,0.5861759272530674,0.99
360000,962.6,1.0,-12.45,0.5814249164238572,0.98
370000,986.7,0.8,-18.2,0.5558864893734455,0.98
380000,1010.5,0.95,-14.7,0.5674291950330138,0.98
390000,1034.7,1.0,-11.75,0.5841336530297995,0.955
400000,1059.1,1.0,-12.2,0.5890839468955994,0.98
410000,1083.7,1.0,-12.1,0.567265054140985,0.98
420000,1108.3,0.95,-13.3,0.5493958147004246,0.97
430000,1135.5,0.95,-13.25,0.549242479942739,0.965
440000,1160.5,1.0,-11.0,0.539406019102037,0.98
450000,1185.1,1.0,-11.8,0.5198135200694204,0.975
460000,1212.2,0.95,-12.25,0.5151640997588635,0.97
470000,1236.9,1.0,-11.5,0.5144525470823049,0.975
480000,1270.3,1.0,-10.8,0.5189389827981591,0.975
490000,1304.4,0.95,-13.1,0.5252070413634181,0.99
500000,1345.9,0.95,-13.05,0.5234588397845625,0.975
510000,1369.3,1.0,-10.9,0.5159671527564526,0.995
520000,1392.9,1.0,-11.4,0.51277741805017,0.965
530000,1422.4,0.95,-13.1,0.5140313409239053,0.98
540000,1455.6,1.0,-10.7,0.5026229959100484,0.99
550000,1478.7,1.0,-10.95,0.5014713061243296,0.975
560000,1517.9,1.0,-10.75,0.5015616179987789,0.98
570000,1540.4,1.0,-10.5,0.4922417136237025,0.98
580000,1563.0,0.95,-11.7,0.4872460583776236,0.96
590000,1585.4,1.0,-10.4,0.48454636698514225,0.985
600000,1607.5,1.0,-10.6,0.47817775837630033,0.99
610000,1630.5,0.9,-12.8,0.4687427035912871,0.975
620000,1653.5,1.0,-10.5,0.4623361072719097,0.965
630000,1676.4,1.0,-10.5,0.45927647011429074,0.98
640000,1699.4,1.0,-10.2,0.45514309912100437,0.985
650000,1722.4,1.0,-11.5,0.456305573579669,0.98
660000,1745.3,1.0,-10.95,0.45177071494609117,0.975
670000,1768.6,1.0,-11.25,0.44943815066069365,0.985
680000,1791.5,1.0,-11.25,0.45995720191001893,0.965
690000,1814.4,0.95,-13.1,0.44523644965291026,0.98
700000,1837.4,1.0,-11.15,0.4477760621160269,0.985
710000,1860.4,0.95,-12.8,0.44816496909707787,0.99
720000,1883.3,1.0,-10.8,0.44444506181180476,0.975
730000,1906.2,1.0,-10.5,0.4544057804271579,0.97
740000,1933.0,1.0,-11.3,0.43262317764908076,1.0
750000,1957.9,1.0,-11.2,0.42841084122210743,0.99
760000,1982.2,0.95,-13.3,0.43800125895142555,0.98
770000,2007.2,1.0,-10.9,0.43513842134326697,0.985
780000,2032.6,1.0,-10.95,0.412578086411953,0.95
790000,2058.0,1.0,-11.05,0.42597626153230667,0.97
800000,2082.6,1.0,-10.5,0.4179366676904261,0.97
810000,2107.4,1.0,-10.55,0.4193402230285108,0.985
820000,2131.9,1.0,-10.55,0.41405930871218444,0.945
830000,2156.5,1.0,-10.9,0.4128876984812319,0.985
840000,2180.9,1.0,-10.85,0.4136387054383755,0.975
850000,2205.2,1.0,-10.8,0.40212667615860703,0.94
860000,2229.7,1.0,-10.15,0.39372024900317193,0.975
870000,2254.2,1.0,-10.7,0.401747858402878,0.965
880000,2278.7,1.0,-10.65,0.4010008152142167,0.995
890000,2303.1,1.0,-9.9,0.39261435001716016,0.985
900000,2327.7,1.0,-10.4,0.3972557574979961,0.98
910000,2352.9,1.0,-10.7,0.40966789428517225,0.98
920000,2377.2,1.0,-10.35,0.40234438824504615,0.98
930000,2401.6,1.0,-10.65,0.39769780586510894,0.955
940000,2425.9,1.0,-10.45,0.3935362999036908,0.975
950000,2450.4,1.0,-10.7,0.39255124011188747,0.98
960000,2474.9,1.0,-10.6,0.3942813847079873,0.96
970000,2499.5,1.0,-10.35,0.3876869048677385,0.97
980000,2523.8,0.95,-11.65,0.3954262319609523,0.93
990000,2548.5,1.0,-10.45,0.38395034242495896,0.99
1000000,2572.7,1.0,-10.3,0.3976276905208826,0.955
