env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,137.5,0.05,-47.5,0.37634044885635376
20000,316.9,0.05,-47.5,0.18745656311511993
30000,473.3,0.05,-47.5,0.42465895414352417
40000,654.6,0.05,-47.5,0.30999112129211426
50000,824.5,0.05,-47.5,0.5488499999046326
60000,1001.4,0.05,-47.5,0.9890933036804199
70000,1172.5,0.05,-47.5,1.0021719932556152
80000,1359.3,0.05,-47.5,0.823061466217041
90000,1550.5,0.05,-47.5,0.3050409257411957
100000,1735.6,0.05,-47.5,0.18946529924869537
110000,1928.0,0.05,-47.5,0.2639892101287842
120000,2103.0,0.05,-47.5,0.2009733021259308
130000,2281.3,0.05,-47.5,0.12318118661642075
140000,2461.1,0.05,-47.5,0.4566166400909424
150000,2671.3,0.05,-47.5,1.2520822286605835
160000,2852.9,0.05,-47.5,3.4650793075561523
170000,3033.8,0.05,-47.5,0.16716933250427246
180000,3238.2,0.05,-47.5,1.3270763158798218
190000,3420.7,0.05,-47.5,0.2631937861442566
200000,3614.0,0.05,-47.5,0.13230395317077637
210000,3820.4,0.05,-47.5,0.40525227785110474
220000,4027.3,0.05,-47.5,0.0845930278301239
230000,4211.5,0.05,-47.5,0.24909646809101105
240000,4402.0,0.05,-47.5,0.17366653680801392
250000,4611.2,0.05,-47.5,5.926724910736084
260000,4821.1,0.05,-47.5,0.6174411177635193
270000,5030.9,0.05,-47.5,0.40881872177124023
280000,5219.3,0.05,-47.5,2.088869571685791
290000,5420.1,0.05,-47.5,0.08136199414730072
300000,5631.4,0.05,-47.5,2.2795865535736084
310000,5844.0,0.05,-47.5,0.0895950198173523
320000,6058.4,0.05,-47.5,0.08434425294399261
330000,6277.8,0.05,-47.5,0.3317716121673584
340000,6468.4,0.05,-47.5,20.7230167388916
350000,6658.7,0.05,-47.5,0.9055886268615723
360000,6851.0,0.05,-47.5,0.06137216091156006
370000,7049.0,0.05,-47.5,0.1888079196214676
380000,7240.2,0.05,-47.5,0.14566275477409363
390000,7440.3,0.05,-47.5,0.20847885310649872
400000,7630.6,0.05,-47.5,0.13453428447246552
410000,7823.5,0.05,-47.5,0.09458500891923904
420000,8017.6,0.05,-47.5,0.06620291620492935
430000,8209.6,0.05,-47.5,0.08795809000730515
440000,8401.3,0.05,-47.5,0.1163846105337143
450000,8615.5,0.05,-47.5,0.1221519261598587
460000,8807.5,0.05,-47.5,0.017675496637821198
470000,9020.2,0.05,-47.5,0.05665449798107147
480000,9212.0,0.05,-47.5,0.5722835063934326
490000,9404.7,0.05,-47.5,0.32890182733535767
500000,9609.7,0.05,-47.5,0.08196558058261871
510000,9825.9,0.05,-47.5,0.09394517540931702
520000,10039.7,0.05,-47.5,0.32691690325737
530000,10255.9,0.05,-47.5,0.30197179317474365
540000,10469.7,0.05,-47.5,0.32775574922561646
550000,10684.4,0.05,-47.5,0.10362815856933594
560000,10881.4,0.05,-47.5,0.03393810987472534
570000,11082.9,0.05,-47.5,0.12658950686454773
580000,11294.2,0.05,-47.5,0.04591073840856552
590000,11516.9,0.05,-47.5,0.026228714734315872
600000,11741.8,0.05,-47.5,0.12372681498527527
610000,11958.6,0.05,-47.5,0.2330261915922165
620000,12180.8,0.05,-47.5,0.07558296620845795
630000,12386.4,0.05,-47.5,0.44693809747695923
640000,12599.2,0.05,-47.5,0.274347722530365
650000,12815.7,0.05,-47.5,0.16776731610298157
660000,13036.6,0.05,-47.5,0.11268500238656998
670000,13231.0,0.05,-47.5,0.3882165551185608
680000,13425.8,0.05,-47.5,0.034632641822099686
690000,13630.1,0.05,-47.5,0.13063594698905945
700000,13827.8,0.05,-47.5,0.8153710961341858
710000,14027.2,0.05,-47.5,0.4533853232860565
720000,14217.4,0.05,-47.5,0.08075112104415894
730000,14431.4,0.05,-47.5,0.07071252167224884
740000,14622.5,0.05,-47.5,0.026339426636695862
750000,14818.1,0.05,-47.5,0.1191876083612442
760000,15031.9,0.05,-47.5,0.168436199426651
770000,15250.0,0.05,-47.5,0.061069849878549576
780000,15441.0,0.05,-47.5,0.028063513338565826
790000,15632.6,0.05,-47.5,0.07760246098041534
800000,15846.9,0.05,-47.5,0.04027130454778671
810000,16043.4,0.05,-47.5,0.05332331731915474
820000,16258.2,0.05,-47.5,0.024222292006015778
830000,16450.6,0.05,-47.5,0.02617616392672062
840000,16648.6,0.05,-47.5,0.08679236471652985
850000,16865.8,0.05,-47.5,0.1179639995098114
860000,17058.6,0.05,-47.5,0.03200578689575195
870000,17259.3,0.05,-47.5,0.051324259489774704
880000,17479.4,0.05,-47.5,0.16051135957241058
890000,17672.7,0.05,-47.5,0.08436039835214615
900000,17869.1,0.05,-47.5,0.023256778717041016
910000,18085.9,0.05,-47.5,0.05189027264714241
920000,18304.6,0.05,-47.5,0.6946032643318176
930000,18500.9,0.05,-47.5,0.02704225666821003
940000,18718.7,0.05,-47.5,0.0842452123761177
950000,18936.6,0.05,-47.5,0.1593550145626068
960000,19131.8,0.05,-47.5,0.03634658828377724
970000,19327.5,0.05,-47.5,0.04742979258298874
980000,19522.8,0.05,-47.5,0.022595755755901337
990000,19718.6,0.05,-47.5,0.036175765097141266
1000000,19940.1,0.05,-47.5,0.1519969403743744
1000000,19942.8,0.05,-47.5,0.10136251151561737
