env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,145.7,0.05,-47.5,0.0639560198177743,0.055
20000,305.9,0.05,-47.5,0.05653259281041101,0.065
30000,467.0,0.05,-47.5,0.0621529234636575,0.095
40000,629.3,0.05,-47.5,0.06063003075039014,0.105
50000,793.1,0.0,-49.7,0.060420130620896816,0.06
60000,967.7,0.05,-47.5,0.05441957576842978,0.07
70000,1132.8,0.05,-47.5,0.05601718796323985,0.085
80000,1305.0,0.05,-47.5,0.06255369325503707,0.095
90000,1475.5,0.05,-47.5,0.058396877408027646,0.07
100000,1645.2,0.05,-47.5,0.057605318692326546,0.1
110000,1813.1,0.05,-47.5,0.0600432957069017,0.085
120000,1980.6,0.05,-47.5,0.06539329405082389,0.075
130000,2153.3,0.05,-47.5,0.061708844265993684,0.085
140000,2331.8,0.0,-49.25,0.06560940463868901,0.08
150000,2502.6,0.05,-47.5,0.06604849563259631,0.085
160000,2673.4,0.05,-47.5,0.07234766476331278,0.115
170000,2848.2,0.05,-47.5,0.07988649877784773,0.07
180000,3019.2,0.05,-47.5,0.08083060938762501,0.085
190000,3191.8,0.0,-48.6,0.0762662543320097,0.02
200000,3363.9,0.0,-49.35,0.07781714881369844,0.105
210000,3536.2,0.05,-47.5,0.07558140117460861,0.095
220000,3707.8,0.05,-47.5,0.07667617067173123,0.07
230000,3880.2,0.05,-47.5,0.08210624026576989,0.105
240000,4051.5,0.05,-47.5,0.08097978625725955,0.11
250000,4233.4,0.05,-47.5,0.08355250595603138,0.145
260000,4405.5,0.1,-46.7,0.08951547853159718,0.12
270000,4576.8,0.05,-47.5,0.09082381225237623,0.095
280000,4747.9,0.05,-47.5,0.08819378845952451,0.115
290000,4918.9,0.05,-47.5,0.0930207677455619,0.095
300000,5091.1,0.05,-47.5,0.0940724682059139,0.125
310000,5263.0,0.05,-47.5,0.09837277520727367,0.13
320000,5441.7,0.05,-47.5,0.10797482726490125,0.16
330000,5614.6,0.0,-49.4,0.10596701978985221,0.085
340000,5795.0,0.05,-47.5,0.10567803840627894,0.145
350000,5976.8,0.05,-47.5,0.10030041341148317,0.14
360000,6149.3,0.0,-49.4,0.10239379908964037,0.15
370000,6321.3,0.05,-47.5,0.10766311561847106,0.16
380000,6492.9,0.0,-49.1,0.11027648097407072,0.19
390000,6665.2,0.05,-47.5,0.12400235667582601,0.165
400000,6835.2,0.1,-46.15,0.11960110378814862,0.19
410000,7006.7,0.1,-46.0,0.12969806732935832,0.26
420000,7176.2,0.05,-47.5,0.13499148422954604,0.27
430000,7347.2,0.1,-45.6,0.1382870925469324,0.225
440000,7519.4,0.15,-44.1,0.14164040055368096,0.28
450000,7690.3,0.15,-45.0,0.14816696426626294,0.295
460000,7862.3,0.25,-41.65,0.15753663145899774,0.335
470000,8036.8,0.3,-39.55,0.17274394474886356,0.38
480000,8209.4,0.35,-38.55,0.170481528057158,0.41
490000,8381.4,0.3,-40.25,0.18453235132433474,0.58
500000,8553.6,0.5,-33.4,0.22184863851387054,0.65
510000,8724.5,0.5,-33.4,0.22411203612629324,0.67
520000,8896.9,0.35,-36.05,0.24425615333300082,0.755
530000,9067.8,0.65,-28.2,0.2544290391853079,0.75
540000,9238.2,0.65,-27.55,0.2593589460298419,0.895
550000,9409.4,0.9,-22.4,0.274158248886466,0.905
560000,9583.3,0.75,-23.4,0.28177253501378,0.925
570000,9755.9,0.8,-25.1,0.30820714466162025,0.955
580000,9928.2,0.85,-20.1,0.31594850603602825,0.935
590000,10099.6,0.85,-21.3,0.33626069567091765,0.965
600000,10271.1,0.9,-18.3,0.3669232053861022,0.97
610000,10441.6,0.8,-22.25,0.3358402322381735,0.96
620000,10612.8,0.9,-18.15,0.33760974684394895,0.95
630000,10785.5,0.95,-16.9,0.3150616875231266,0.97
640000,10958.0,1.0,-13.1,0.3185966142177582,0.98
650000,11129.5,1.0,-12.4,0.2975495026495308,0.965
660000,11302.3,0.95,-14.65,0.28795172151736914,0.98
670000,11473.0,1.0,-12.05,0.2936785143453628,0.965
680000,11643.4,0.95,-14.7,0.2726895997442305,0.965
690000,11814.8,0.85,-19.75,0.2851948264982551,0.97
700000,11985.3,1.0,-14.25,0.28870662446059286,0.975
710000,12158.5,1.0,-12.0,0.2886196830447763,0.975
720000,12331.0,1.0,-12.2,0.28666827397271993,0.975
730000,12502.4,0.95,-15.2,0.2773293829161674,0.96
740000,12674.9,1.0,-12.65,0.2896018796350807,0.985
750000,12849.9,1.0,-13.45,0.2835501468040049,0.99
760000,13023.4,1.0,-11.7,0.2792978816594929,0.965
770000,13195.7,0.95,-13.8,0.27636574403755365,0.97
780000,13367.0,1.0,-11.65,0.27841119827702643,0.935
790000,13539.7,1.0,-11.3,0.27975663647428156,0.965
800000,13711.2,0.95,-14.45,0.2620883587889373,0.965
810000,13884.1,1.0,-11.75,0.28228175060003996,0.975
820000,14058.6,1.0,-10.85,0.2717511561766267,0.94
830000,14229.7,1.0,-12.3,0.28321419853568075,0.975
840000,14408.3,0.95,-12.3,0.2642616952545941,0.98
850000,14578.1,1.0,-11.75,0.28009624631367624,0.95
860000,14748.4,1.0,-10.65,0.2720309763621539,0.96
870000,14920.0,1.0,-11.15,0.2798702238831669,0.955
880000,15089.9,1.0,-11.25,0.27311972990110517,0.98
890000,15260.1,1.0,-11.0,0.28720310775190594,0.97
900000,15430.3,1.0,-11.25,0.2694024378143251,0.965
910000,15600.8,1.0,-11.5,0.2725100276775658,0.97
920000,15772.6,1.0,-11.45,0.266212636968866,0.975
930000,15944.3,0.95,-12.05,0.26217885954342784,0.95
940000,16116.2,1.0,-10.6,0.2722886232126504,0.965
950000,16288.3,1.0,-10.1,0.2756032191731036,0.975
960000,16462.5,1.0,-10.5,0.2670474679723382,0.955
970000,16644.5,0.95,-11.9,0.27353290751576426,0.955
980000,16826.8,0.95,-12.05,0.2768601855657995,0.935
