env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,23.7,0.05,-47.5,0.06627647143289529,0.12
20000,49.3,0.05,-47.5,0.10921621023509652,0.155
30000,77.4,0.05,-47.5,0.1204298490120098,0.16
40000,104.6,0.1,-46.15,0.16202892229780555,0.27
50000,139.2,0.05,-47.5,0.1862625764209777,0.225
60000,184.4,0.1,-47.0,0.21286078108884393,0.23
70000,221.5,0.05,-47.5,0.22078147141300142,0.215
80000,265.7,0.05,-47.5,0.2695711966585368,0.28
90000,320.7,0.05,-47.5,0.2944548618186265,0.355
100000,354.3,0.05,-47.9,0.34939499130994084,0.42
110000,388.9,0.25,-41.55,0.38647903789654375,0.405
120000,416.2,0.1,-45.5,0.40909066520631315,0.475
130000,442.6,0.3,-40.25,0.4517131396703422,0.5
140000,472.8,0.35,-37.15,0.47129255956709387,0.445
150000,498.4,0.3,-39.15,0.5115016888551414,0.575
160000,532.7,0.2,-42.4,0.5377820706032217,0.545
170000,560.7,0.3,-39.8,0.5564814682103694,0.52
180000,592.5,0.35,-37.15,0.6105422482565045,0.555
190000,621.6,0.3,-37.1,0.6152949493765831,0.535
200000,646.6,0.35,-37.0,0.6379980010256171,0.555
210000,675.8,0.4,-34.8,0.6232606621712447,0.565
220000,708.2,0.45,-34.35,0.635002357301861,0.475
230000,761.6,0.4,-35.85,0.6191316561818123,0.545
240000,803.6,0.5,-31.15,0.6176450848326087,0.605
250000,831.4,0.45,-33.5,0.630785598167777,0.63
260000,860.5,0.5,-31.95,0.6503961028113961,0.55
270000,889.8,0.45,-33.3,0.6343480929136276,0.61
280000,921.7,0.4,-33.15,0.6268061847761274,0.575
290000,953.3,0.5,-31.65,0.6081358974918724,0.52
300000,989.4,0.5,-32.65,0.6117417376853526,0.535
310000,1024.6,0.5,-33.05,0.5841944919139147,0.56
320000,1050.2,0.5,-30.75,0.5983745592921972,0.595
330000,1078.2,0.45,-31.85,0.6137723550990224,0.57
340000,1107.3,0.45,-32.85,0.5687731218293309,0.525
350000,1132.8,0.55,-29.3,0.5420452803842724,0.6
360000,1162.6,0.5,-31.8,0.5323991233952343,0.55
370000,1187.7,0.5,-29.45,0.5419489793434739,0.555
380000,1212.4,0.5,-31.65,0.5381446573510766,0.55
390000,1237.8,0.5,-30.3,0.5397514440417289,0.6
400000,1263.5,0.5,-29.65,0.5405943323470652,0.625
410000,1304.7,0.5,-29.8,0.524185097707063,0.655
420000,1362.3,0.55,-28.9,0.520880195850879,0.59
430000,1418.1,0.55,-28.8,0.503957760515064,0.625
440000,1451.2,0.55,-28.25,0.4967010473638773,0.68
450000,1487.1,0.55,-27.8,0.49259756188616155,0.61
460000,1528.0,0.55,-28.05,0.5009515342287719,0.595
470000,1558.5,0.55,-28.35,0.49949956277757884,0.655
480000,1588.2,0.55,-27.9,0.48385879651904107,0.635
490000,1617.8,0.6,-26.0,0.4745728575974703,0.665
500000,1644.2,0.55,-27.8,0.47340959596931936,0.65
510000,1670.2,0.55,-26.5,0.46404072533771396,0.59
520000,1696.0,0.6,-26.25,0.4621772999249399,0.685
530000,1721.6,0.6,-25.85,0.44572091276422143,0.635
540000,1748.4,0.65,-24.3,0.452714825347811,0.645
550000,1778.3,0.6,-25.45,0.44976239724755285,0.6
560000,1812.8,0.6,-25.85,0.4380986751243472,0.66
570000,1842.9,0.6,-24.6,0.43516978728249667,0.735
580000,1870.2,0.65,-24.35,0.42664793689250946,0.68
590000,1900.8,0.65,-23.9,0.42221673024967316,0.675
600000,1937.1,0.6,-25.65,0.4233795796096325,0.675
610000,1965.3,0.6,-24.65,0.41688794563114645,0.73
620000,1992.4,0.6,-25.6,0.4124296279288828,0.65
630000,2029.7,0.65,-23.65,0.4089756638944149,0.7
640000,2056.2,0.65,-23.6,0.4085676519751549,0.72
650000,2081.1,0.65,-23.5,0.40963657177910207,0.775
660000,2106.1,0.65,-22.7,0.40919663016498087,0.75
670000,2130.1,0.7,-21.75,0.4183154163770378,0.7
680000,2157.8,0.6,-24.4,0.41033414853289724,0.71
690000,2186.3,0.7,-21.5,0.40438463493213056,0.69
