env_steps,wall_clock_s,success_rate,mean_return,critic_loss
10000,270.9,0.05,-47.5,0.7615057229995728
20000,587.6,0.05,-47.5,0.38984227180480957
30000,898.1,0.05,-47.5,0.15541201829910278
40000,1210.1,0.0,-49.6,0.14580479264259338
50000,1535.4,0.05,-47.5,0.3814612925052643
60000,1849.1,0.0,-49.8,0.345340758562088
70000,2184.4,0.0,-49.8,0.0736878365278244
80000,2511.2,0.05,-47.5,0.1311286985874176
90000,2838.4,0.05,-47.5,0.11469986289739609
100000,3165.1,0.05,-47.5,0.3763791024684906
110000,3490.0,0.05,-48.75,0.1614467203617096
120000,3817.4,0.05,-47.4,0.10251934826374054
130000,4158.4,0.05,-47.45,0.20837292075157166
140000,4483.5,0.25,-39.75,0.17479735612869263
150000,4809.1,0.05,-47.15,0.3693082928657532
160000,5141.3,0.3,-40.8,0.2844052314758301
170000,5469.3,0.35,-38.0,1.212501049041748
180000,5797.4,0.35,-36.2,0.4961446523666382
190000,6126.3,0.75,-23.05,0.2791680693626404
200000,6461.5,0.4,-34.45,0.2153550237417221
210000,6798.9,0.6,-28.7,0.5331823825836182
220000,7141.4,0.55,-28.3,0.42891889810562134
230000,7484.5,0.8,-20.65,0.47877082228660583
240000,7815.8,0.8,-19.05,0.4785959720611572
250000,8148.7,0.85,-17.25,0.3051251769065857
260000,8479.6,0.8,-18.05,0.22717970609664917
270000,8811.5,0.9,-15.2,0.1995658427476883
280000,9144.2,0.75,-19.85,0.18128439784049988
290000,9484.2,0.9,-15.9,0.5491856932640076
300000,9819.9,0.75,-20.5,0.37173089385032654
310000,10159.4,0.95,-14.3,0.37009042501449585
320000,10494.2,0.95,-15.35,0.18907169997692108
330000,10827.3,0.85,-16.15,0.23566028475761414
340000,11158.3,0.85,-15.45,0.2123131901025772
350000,11491.1,0.8,-17.9,0.16291406750679016
360000,11823.1,1.0,-11.05,0.2214336395263672
370000,12156.6,0.7,-21.75,0.28867965936660767
380000,12493.4,1.0,-11.95,0.2151528298854828
390000,12827.0,1.0,-10.15,0.22674596309661865
400000,13160.7,0.95,-12.05,0.25822922587394714
410000,13494.2,0.95,-13.0,0.21348512172698975
420000,13834.2,0.95,-12.1,0.25858843326568604
430000,14178.3,0.95,-13.1,0.1646968126296997
440000,14514.3,0.95,-13.95,0.251367449760437
450000,14848.5,0.9,-14.65,0.18514373898506165
460000,15185.4,0.95,-13.45,0.16811835765838623
470000,15521.2,0.9,-16.95,0.18438729643821716
480000,15855.6,0.95,-11.75,0.2865327298641205
490000,16189.2,0.95,-11.9,0.16663764417171478
500000,16529.8,1.0,-9.95,0.3126365542411804
510000,16867.3,1.0,-10.45,0.1481146216392517
520000,17196.9,1.0,-10.05,0.16265767812728882
530000,17510.5,1.0,-10.5,0.283080518245697
540000,17802.2,1.0,-10.7,0.2232939749956131
550000,18094.1,1.0,-11.1,0.21891576051712036
560000,18387.0,1.0,-10.65,0.12870381772518158
570000,18678.6,1.0,-10.05,0.4639975428581238
580000,18970.9,1.0,-9.8,0.21783290803432465
590000,19264.2,1.0,-10.4,0.19420647621154785
600000,19557.0,0.95,-12.15,0.1331377923488617
610000,19848.9,1.0,-10.45,0.2795420289039612
620000,20141.7,1.0,-10.35,0.4474749267101288
630000,20434.3,0.95,-11.45,0.17686942219734192
640000,20727.9,1.0,-9.7,0.11680258810520172
650000,21021.2,1.0,-9.75,0.1285809427499771
660000,21315.2,1.0,-9.35,0.15605610609054565
670000,21608.2,1.0,-10.15,0.1322087049484253
680000,21901.5,0.9,-14.15,0.1412791609764099
690000,22194.9,1.0,-10.4,0.16346919536590576
700000,22486.9,1.0,-10.25,0.17665031552314758
710000,22779.3,1.0,-9.8,0.0875750333070755
720000,23073.1,1.0,-11.0,0.13674794137477875
730000,23367.7,1.0,-10.1,0.19060346484184265
740000,23661.6,1.0,-10.0,0.07763862609863281
750000,23955.3,1.0,-11.9,0.24758747220039368
760000,24248.1,1.0,-11.45,0.23331508040428162
770000,24542.3,1.0,-10.35,0.2428382933139801
780000,24837.6,1.0,-9.4,0.08726795017719269
790000,25132.6,1.0,-9.35,0.21952968835830688
800000,25427.6,1.0,-10.85,0.29165732860565186
810000,25721.2,1.0,-9.5,0.2833612859249115
820000,26015.3,0.95,-10.6,0.1047445684671402
830000,26309.6,1.0,-11.45,0.16275182366371155
840000,26603.8,1.0,-10.15,0.13447271287441254
850000,26898.4,1.0,-9.45,0.10074152052402496
860000,27194.2,1.0,-10.4,0.12279384583234787
870000,27490.2,1.0,-9.35,0.11648610234260559
880000,27786.5,1.0,-10.15,0.10636863112449646
890000,28082.6,1.0,-9.8,0.0709947794675827
900000,28378.2,1.0,-12.55,0.09847068041563034
910000,28674.5,0.95,-12.1,0.12444386631250381
920000,28970.2,1.0,-10.1,0.08283104002475739
930000,29266.2,1.0,-11.0,0.09502460062503815
940000,29563.2,1.0,-9.35,0.14317269623279572
950000,29858.4,1.0,-9.05,0.1482350081205368
960000,30154.6,1.0,-9.2,0.12030553817749023
970000,30451.5,1.0,-9.85,0.12115606665611267
980000,30748.5,1.0,-10.35,0.0960729569196701
990000,31045.5,1.0,-9.2,0.11555297672748566
1000000,31342.5,1.0,-10.1,0.11581681668758392
1000000,31345.7,1.0,-9.95,0.20881620049476624
