env_steps,wall_clock_s,success_rate,mean_return,critic_loss,contact_frac
10000,21.7,0.05,-47.5,0.06209841630900104,0.09
20000,44.5,0.0,-49.55,0.05228916304763406,0.055
30000,67.8,0.0,-49.2,0.052645129064284264,0.04
40000,90.8,0.05,-47.5,0.05308795400829986,0.065
50000,114.5,0.05,-47.5,0.05020400883518159,0.04
60000,137.8,0.05,-47.5,0.045938178924564275,0.01
70000,161.2,0.05,-47.5,0.050877398564480245,0.03
80000,184.4,0.05,-47.5,0.046427762167993936,0.045
90000,208.2,0.05,-47.5,0.04795152555829845,0.025
100000,231.9,0.05,-47.5,0.04765269639864564,0.015
110000,255.2,0.05,-47.5,0.04874413014193997,0.03
120000,279.1,0.05,-47.5,0.04639088887535035,0.05
130000,302.1,0.05,-47.5,0.04432202292908914,0.035
140000,325.2,0.05,-47.5,0.04522404315206222,0.025
150000,348.5,0.05,-47.5,0.04787192351836711,0.015
160000,371.8,0.05,-47.5,0.04596937987869605,0.04
170000,394.9,0.05,-47.5,0.05021006560293026,0.04
180000,418.7,0.05,-47.5,0.05108251211885363,0.035
190000,442.5,0.05,-47.5,0.048163720316672695,0.045
200000,470.8,0.05,-47.5,0.0466291558935307,0.02
210000,494.0,0.05,-47.5,0.050266204566555096,0.045
220000,521.8,0.05,-47.5,0.0481079468568787,0.045
230000,544.9,0.05,-47.5,0.04686754646915942,0.015
240000,568.0,0.05,-47.5,0.04718840855122544,0.02
250000,591.2,0.05,-47.5,0.046338387483824045,0.01
260000,614.3,0.05,-47.5,0.045661101781623435,0.005
270000,637.7,0.05,-47.5,0.04702896046577953,0.03
280000,661.4,0.05,-47.5,0.04933756459695287,0.02
290000,690.1,0.05,-47.5,0.047212800539378076,0.02
300000,713.3,0.05,-47.5,0.04734609381088521,0.03
310000,736.7,0.05,-47.5,0.04420412390129641,0.03
320000,764.2,0.0,-49.6,0.04533190512899309,0.045
330000,788.5,0.05,-47.5,0.0469682301312685,0.03
340000,811.7,0.05,-47.5,0.04685641429806128,0.055
350000,834.9,0.05,-47.5,0.0430928168867249,0.045
360000,858.1,0.05,-47.5,0.04657400889005512,0.015
370000,886.5,0.05,-47.5,0.04382220488185994,0.01
380000,909.7,0.05,-47.5,0.04380202132412232,0.02
390000,932.8,0.05,-47.5,0.04300442317533307,0.015
400000,955.8,0.05,-47.5,0.04295806777994148,0.04
410000,979.0,0.05,-47.5,0.04274707770580426,0.025
420000,1002.3,0.05,-47.5,0.04374426871547475,0.04
430000,1025.9,0.05,-47.5,0.04323326404315885,0.07
440000,1049.3,0.05,-47.5,0.04415257408963516,0.02
450000,1072.5,0.05,-47.5,0.045048441975889725,0.02
460000,1095.7,0.05,-47.5,0.04502088046874851,0.005
470000,1118.9,0.05,-47.5,0.0435699128377717,0.03
480000,1142.0,0.05,-47.5,0.04317196844164282,0.025
490000,1165.2,0.05,-47.5,0.04091716992938891,0.04
500000,1188.4,0.05,-47.5,0.04262053074031137,0.04
510000,1211.5,0.05,-47.5,0.0444291954097338,0.045
520000,1234.7,0.05,-47.5,0.04440699277585372,0.045
530000,1257.9,0.05,-47.5,0.040243525006249545,0.015
540000,1281.1,0.05,-47.5,0.0445723734552972,0.03
550000,1304.2,0.05,-47.5,0.04084636597298086,0.04
560000,1327.5,0.05,-47.5,0.039484468424879016,0.02
570000,1350.7,0.05,-47.5,0.040165632408857344,0.03
580000,1374.0,0.0,-49.25,0.04185875320169143,0.035
590000,1397.3,0.05,-47.5,0.0396132112278603,0.02
600000,1420.5,0.0,-49.45,0.04304393978242297,0.04
610000,1443.6,0.05,-47.5,0.03977431871877052,0.025
620000,1467.3,0.05,-47.5,0.04023564897973556,0.03
630000,1491.0,0.05,-47.5,0.04465984902638011,0.065
640000,1514.7,0.05,-47.5,0.04086835487545468,0.02
650000,1538.2,0.05,-47.5,0.04175585497613065,0.03
660000,1566.5,0.05,-47.5,0.042004848465742546,0.045
670000,1589.6,0.05,-47.5,0.04600061084451154,0.08
680000,1612.9,0.05,-47.5,0.04699206459568814,0.035
690000,1636.2,0.05,-47.5,0.04483937612595037,0.045
700000,1659.4,0.05,-47.5,0.04485022185095586,0.03
710000,1682.8,0.05,-47.5,0.04738582963980734,0.045
720000,1706.3,0.05,-47.5,0.04554244150323793,0.05
730000,1729.7,0.05,-47.5,0.045325042589101944,0.045
740000,1752.8,0.05,-47.5,0.04576821781340987,0.06
750000,1775.9,0.05,-47.5,0.04666660522613674,0.025
760000,1799.2,0.05,-47.5,0.049083931063953784,0.045
770000,1822.6,0.05,-47.5,0.05018317374205217,0.035
780000,1845.7,0.05,-47.5,0.047035635825479406,0.01
790000,1868.8,0.05,-47.5,0.04605970300217159,0.03
800000,1892.0,0.05,-47.5,0.04557972037640866,0.02
810000,1915.5,0.05,-47.5,0.04650597160416655,0.025
820000,1939.1,0.05,-47.5,0.04888051106133498,0.06
830000,1962.7,0.05,-47.5,0.05072276218966581,0.05
840000,1991.1,0.05,-47.5,0.04617831816268154,0.03
850000,2014.6,0.05,-47.5,0.0493864423285937,0.055
860000,2037.9,0.05,-47.5,0.045605947024887426,0.055
870000,2061.5,0.05,-47.5,0.0466275068811141,0.04
880000,2084.7,0.05,-47.5,0.046907664254587145,0.085
890000,2113.3,0.05,-47.5,0.048362187734432516,0.035
900000,2141.6,0.05,-47.5,0.051256057689199226,0.035
910000,2164.8,0.05,-47.5,0.04695584658768494,0.02
920000,2188.7,0.05,-47.5,0.05682932866602205,0.025
930000,2211.9,0.05,-47.5,0.05008433854700998,0.05
940000,2236.8,0.05,-47.5,0.04896247691023164,0.035
950000,2269.8,0.05,-47.5,0.04649544863598421,0.03
960000,2293.0,0.05,-47.5,0.047701387349609284,0.015
970000,2316.1,0.05,-47.5,0.04772128229797818,0.055
980000,2339.5,0.05,-47.5,0.04653558911376167,0.055
990000,2362.5,0.05,-47.5,0.05211549411150627,0.015
1000000,2386.1,0.05,-47.5,0.05574654538074974,0.03
